Symbol,Company Name,Txn Type,Txn Date/Time, Gross Leverage, Net Leverage,# Shares,Price,Txn Value,Portfolio # Shares,Portfolio Value,Commission,Slippage(10BPS),Comments
NTAP,NTAP,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,114.0,34.75,3961.5,-554.0,-884973.19,0.0,0.0,
NU,NU,Sell Short,2012-01-11 16:00:00,0.924726532826,-0.88578676743,-565.0,33.34,-18837.1,-565.0,-884973.19,0.0,0.0,
PCS,PCS,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,464.0,8.43,3911.52,-2372.0,-884973.19,0.0,0.0,
PEG,PEG,Sell Short,2012-01-11 16:00:00,0.924726532826,-0.88578676743,-617.0,30.1,-18571.7,-617.0,-884973.19,0.0,0.0,
PPL,PPL,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,138.0,27.15,3746.7,-679.0,-884973.19,0.0,0.0,
PRGO,PRGO,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,45.0,97.2,4374.0,-196.0,-884973.19,0.0,0.0,
RAI,RAI,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,105.0,39.31,4127.55,-473.0,-884973.19,0.0,0.0,
RRC,RRC,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,59.0,54.29,3203.11,-339.0,-884973.19,0.0,0.0,
S,S,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,1760.0,2.3,4048.0,-8802.0,-884973.19,0.0,0.0,
SIAL,SIAL,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,72.0,63.47,4569.84,-306.0,-884973.19,0.0,0.0,
SRCL,SRCL,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,57.0,80.77,4603.89,-242.0,-884973.19,0.0,0.0,
SWN,SWN,Sell Short,2012-01-11 16:00:00,0.924726532826,-0.88578676743,-610.0,29.92,-18251.2,-610.0,-884973.19,0.0,0.0,
TDC,TDC,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,80.0,48.04,3843.2,-403.0,-884973.19,0.0,0.0,
TIF,TIF,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,63.0,59.37,3740.31,-327.0,-884973.19,0.0,0.0,
TSN,TSN,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,205.0,19.61,4020.05,-962.0,-884973.19,0.0,0.0,
URBN,URBN,Sell Short,2012-01-11 16:00:00,0.924726532826,-0.88578676743,-793.0,23.93,-18976.49,-793.0,-884973.19,0.0,0.0,
VLO,VLO,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,212.0,20.06,4252.72,-974.0,-884973.19,0.0,0.0,
WPX,WPX,Buy to Cover,2012-01-11 16:00:00,0.924726532826,-0.88578676743,270.0,16.51,4457.7,-1173.0,-884973.19,0.0,0.0,
ACN,ACN,Buy to Cover,2012-01-12 16:00:00,0.912631950355,-0.880620060293,74.0,53.36,3948.64,-299.0,-875561.4,0.0,0.0,
AIZ,AIZ,Buy to Cover,2012-01-12 16:00:00,0.912631950355,-0.880620060293,86.0,37.48,3223.28,-420.0,-875561.4,0.0,0.0,
AN,AN,Buy to Cover,2012-01-12 16:00:00,0.912631950355,-0.880620060293,106.0,34.39,3645.34,-462.0,-875561.4,0.0,0.0,
ANF,ANF,Buy to Cover,2012-01-12 16:00:00,0.912631950355,-0.880620060293,84.0,44.14,3707.76,-351.0,-875561.4,0.0,0.0,
AVB,AVB,Sell Short,2012-01-12 16:00:00,0.912631950355,-0.880620060293,-125.0,122.52,-15315.0,-125.0,-875561.4,0.0,0.0,
BF.B,BF.B,Buy to Cover,2012-01-12 16:00:00,0.912631950355,-0.880620060293,44.0,78.34,3446.96,-198.0,-875561.4,0.0,0.0,
BMC,BMC,Buy to Cover,2012-01-12 16:00:00,0.912631950355,-0.880620060293,116.0,32.72,3795.52,-498.0,-875561.4,0.0,0.0,
CFN,CFN,Buy to Cover,2012-01-12 16:00:00,0.912631950355,-0.880620060293,155.0,22.88,3546.4,-694.0,-875561.4,0.0,0.0,
CHK,CHK,Sell Short,2012-01-12 16:00:00,0.912631950355,-0.880620060293,-707.0,21.97,-15532.79,-707.0,-875561.4,0.0,0.0,
CHRW,CHRW,Buy to Cover,2012-01-12 16:00:00,0.912631950355,-0.880620060293,51.0,65.27,3328.77,-238.0,-875561.4,0.0,0.0,
CL,CL,Buy to Cover,2012-01-12 16:00:00,0.912631950355,-0.880620060293,38.0,86.91,3302.58,-179.0,-875561.4,0.0,0.0,
CME,CME,Buy to Cover,2012-01-12 16:00:00,0.912631950355,-0.880620060293,15.0,45.01,675.15,-70.0,-875561.4,0.0,0.0,
CNP,CNP,Sell Short,2012-01-12 16:00:00,0.912631950355,-0.880620060293,-819.0,18.58,-15217.02,-819.0,-875561.4,0.0,0.0,
CNX,CNX,Buy to Cover,2012-01-12 16:00:00,0.912631950355,-0.880620060293,84.0,36.11,3033.24,-441.0,-875561.4,0.0,0.0,
COG,COG,Buy to Cover,2012-01-12 16:00:00,0.912631950355,-0.880620060293,22.0,33.54,737.88,-227.0,-875561.4,0.0,0.0,
COST,COST,Buy to Cover,2012-01-12 16:00:00,0.912631950355,-0.880620060293,47.0,79.23,3723.81,-198.0,-875561.4,0.0,0.0,
CPB,CPB,Buy to Cover,2012-01-12 16:00:00,0.912631950355,-0.880620060293,107.0,32.02,3426.14,-491.0,-875561.4,0.0,0.0,
CRM,CRM,Buy to Cover,2012-01-12 16:00:00,0.912631950355,-0.880620060293,34.0,105.68,3593.12,-150.0,-875561.4,0.0,0.0,
CSC,CSC,Buy to Cover,2012-01-12 16:00:00,0.912631950355,-0.880620060293,150.0,24.37,3655.5,-647.0,-875561.4,0.0,0.0,
CVH,CVH,Buy to Cover,2012-01-12 16:00:00,0.912631950355,-0.880620060293,124.0,29.51,3659.24,-531.0,-875561.4,0.0,0.0,
DF,DF,Buy to Cover,2012-01-12 16:00:00,0.912631950355,-0.880620060293,301.0,10.99,3307.99,-1460.0,-875561.4,0.0,0.0,
DPS,DPS,Sell Short,2012-01-12 16:00:00,0.912631950355,-0.880620060293,-417.0,37.33,-15566.61,-417.0,-875561.4,0.0,0.0,
EA,EA,Buy to Cover,2012-01-12 16:00:00,0.912631950355,-0.880620060293,194.0,19.51,3784.94,-813.0,-875561.4,0.0,0.0,
ED,ED,Sell Short,2012-01-12 16:00:00,0.912631950355,-0.880620060293,-268.0,57.24,-15340.32,-268.0,-875561.4,0.0,0.0,
EQR,EQR,Sell Short,2012-01-12 16:00:00,0.912631950355,-0.880620060293,-289.0,53.48,-15455.72,-289.0,-875561.4,0.0,0.0,
EQT,EQT,Buy to Cover,2012-01-12 16:00:00,0.912631950355,-0.880620060293,51.0,48.53,2475.03,-313.0,-875561.4,0.0,0.0,
FDO,FDO,Buy to Cover,2012-01-12 16:00:00,0.912631950355,-0.880620060293,63.0,53.56,3374.28,-298.0,-875561.4,0.0,0.0,
FOSL,FOSL,Buy to Cover,2012-01-12 16:00:00,0.912631950355,-0.880620060293,43.0,86.78,3731.54,-200.0,-875561.4,0.0,0.0,
GPS,GPS,Buy to Cover,2012-01-12 16:00:00,0.912631950355,-0.880620060293,194.0,17.97,3486.18,-884.0,-875561.4,0.0,0.0,
IBM,IBM,Buy to Cover,2012-01-12 16:00:00,0.912631950355,-0.880620060293,20.0,178.34,3566.8,-87.0,-875561.4,0.0,0.0,
