Symbol,Company Name,Txn Type,Txn Date/Time, Gross Leverage, Net Leverage,# Shares,Price,Txn Value,Portfolio # Shares,Portfolio Value,Commission,Slippage(10BPS),Comments
HCN,HCN,Sell,2009-11-13 16:00:00,1.00590213233,1.00590213233,-345.0,36.95,-12747.75,3041.0,1182266.41,0.0,0.0,
HCP,HCP,Sell,2009-11-13 16:00:00,1.00590213233,1.00590213233,-497.0,25.23,-12539.31,4540.0,1182266.41,0.0,0.0,
MNST,MNST,Sell,2009-11-13 16:00:00,1.00590213233,1.00590213233,-412.0,17.58,-7242.96,3809.0,1182266.41,0.0,0.0,
MUR,MUR,Buy,2009-11-13 16:00:00,1.00590213233,1.00590213233,2206.0,56.68,125036.08,2206.0,1182266.41,0.0,0.0,
SUN,SUN,Sell,2009-11-13 16:00:00,1.00590213233,1.00590213233,-388.0,25.42,-9862.96,4905.0,1182266.41,0.0,0.0,
TAP,TAP,Sell,2009-11-13 16:00:00,1.00590213233,1.00590213233,-304.0,42.09,-12795.36,2874.0,1182266.41,0.0,0.0,
WFM,WFM,Sell,2009-11-13 16:00:00,1.00590213233,1.00590213233,-420.0,27.17,-11411.4,4794.0,1182266.41,0.0,0.0,
CVS,CVS,Sell,2009-11-16 16:00:00,1.001274661,1.001274661,-76.0,29.13,-2213.88,4318.0,1184520.52,0.0,0.0,
DV,DV,Buy,2009-11-16 16:00:00,1.001274661,1.001274661,6.0,53.63,321.78,2465.0,1184520.52,0.0,0.0,
HCN,HCN,Sell,2009-11-16 16:00:00,1.001274661,1.001274661,-1.0,37.24,-37.24,3040.0,1184520.52,0.0,0.0,
HCP,HCP,Sell,2009-11-16 16:00:00,1.001274661,1.001274661,-51.0,25.63,-1307.13,4489.0,1184520.52,0.0,0.0,
MNST,MNST,Sell,2009-11-16 16:00:00,1.001274661,1.001274661,-75.0,17.8,-1335.0,3734.0,1184520.52,0.0,0.0,
MUR,MUR,Sell,2009-11-16 16:00:00,1.001274661,1.001274661,-21.0,57.75,-1212.75,2185.0,1184520.52,0.0,0.0,
SUN,SUN,Sell,2009-11-16 16:00:00,1.001274661,1.001274661,-6.0,25.18,-151.08,4899.0,1184520.52,0.0,0.0,
TAP,TAP,Sell,2009-11-16 16:00:00,1.001274661,1.001274661,-1.0,42.67,-42.67,2873.0,1184520.52,0.0,0.0,
WFM,WFM,Sell,2009-11-16 16:00:00,1.001274661,1.001274661,-3.0,26.68,-80.04,4791.0,1184520.52,0.0,0.0,
